surname	results	source
Бремер	414	Wikipedia Russia
Бреслина	13	Wikipedia Russia
Бресткин	6	Wikipedia Russia
Брехунцов	2	Wikipedia Russia
Бритаев	13	Wikipedia Russia
Бриффа	9	Wikipedia Russia
Бричкин	3	Wikipedia Russia
Бро	1288	Wikipedia Russia
Бровка	332	Wikipedia Russia
Бровков	1	Wikipedia Russia
Бродников	98	Wikipedia Russia
Броды	1465	Wikipedia Russia
Бройдо	63	Wikipedia Russia
Бронгулеев	3	Wikipedia Russia
Бронштен	1	Wikipedia Russia
Броуди	536	Wikipedia Russia
Брубакер	6	Wikipedia Russia
Бруевич	374	Wikipedia Russia
Брушков	1	Wikipedia Russia
Брыжинский	9	Wikipedia Russia
Брызгало	1	Wikipedia Russia
Брюнелли	3	Wikipedia Russia
Брязгин	6	Wikipedia Russia
Брянчанинова	108	Wikipedia Russia
Буб	751	Wikipedia Russia
Бубенщикова	2	Wikipedia Russia
Бубнис	13	Wikipedia Russia
Бубякин	11	Wikipedia Russia
Бугроменко	2	Wikipedia Russia
Буданцева	69	Wikipedia Russia
Бударгин	16	Wikipedia Russia
Будин	49	Wikipedia Russia
Будников	113	Wikipedia Russia
Будрецкий	6	Wikipedia Russia
Будрис	93	Wikipedia Russia
Будрыс	5	Wikipedia Russia
Будыленко	2	Wikipedia Russia
Будьков	107	Wikipedia Russia
Бузаков	5	Wikipedia Russia
Бузанов	19	Wikipedia Russia
Буйневич	52	Wikipedia Russia
Буйницкий	82	Wikipedia Russia
Букай	11	Wikipedia Russia
Буканов	36	Wikipedia Russia
Букатов	19	Wikipedia Russia
Букатова	9	Wikipedia Russia
Букреева	63	Wikipedia Russia
Буксина	1	Wikipedia Russia
Булай	125	Wikipedia Russia
Буланцев	8	Wikipedia Russia
Булейко	8	Wikipedia Russia
Булина	13	Wikipedia Russia
Булохов	2	Wikipedia Russia
Булычов	255	Wikipedia Russia
Буманн	15	Wikipedia Russia
Бунан	3	Wikipedia Russia
Буне	32	Wikipedia Russia
Бургаева	1	Wikipedia Russia
Буренко	38	Wikipedia Russia
Буренков	99	Wikipedia Russia
Буренстам	3	Wikipedia Russia
Бурий	9	Wikipedia Russia
Бурикова	3	Wikipedia Russia
Бурилов	12	Wikipedia Russia
Бурилова	8	Wikipedia Russia
Бурканов	84	Wikipedia Russia
Бурлакин	5	Wikipedia Russia
Бурнаков	3	Wikipedia Russia
Бурр	134	Wikipedia Russia
Буртман	3	Wikipedia Russia
Бурштын	209	Wikipedia Russia
